m,l,P,r,T,d,e,k,ad,rad,nabla,trans
9.999999999999974e-13,2.6438435795542246e-11,17.27580893637291,2.569852983122759e-05,7.225660942925482,1.9189936143430577,50.85643484126069,1.019246361751747,0.4,0.4827703193320166,0.4,Convective zone
1.4196468304139936e-11,3.753323330069855e-10,17.275808902150935,6.216281685413432e-05,7.225660929236692,1.9189935938318206,50.85641916722987,1.019246405396289,0.4,0.48277025635979814,0.4,Convective zone
2.0153971231045197e-10,5.328387763020245e-09,17.27580870109341,0.00015053432698699978,7.225660848813682,1.9189934733262608,50.856327080881,1.0192466618123572,0.4,0.4827699858658613,0.4,Convective zone
2.8611521378408198e-09,7.564380824118054e-08,17.275807526272324,0.0003642899428978965,7.22566037888524,1.9189927691871194,50.855789005942846,1.0192481601062964,0.4,0.48276841729491915,0.4,Convective zone
4.061825563817952e-08,1.0738348244010797e-06,17.2758005691337,0.0008835822196291553,7.22565759602987,1.9189885993659992,50.85260276483649,1.0192570328538477,0.4,0.4827592317989285,0.4,Convective zone
5.766357787368749e-07,1.5241348191693938e-05,17.275760443135418,0.0021341495216610704,7.2256415456180685,1.9189645495145393,50.834231429982005,1.019308208893037,0.4,0.482705282764592,0.4,Convective zone
8.186191555871115e-06,0.00021609694540341442,17.27552035575798,0.005184202665546157,7.225545510862485,1.918820650842984,50.72451039605902,1.0196144646655159,0.4,0.4823935538328355,0.4,Convective zone
0.00011621500895454255,0.0030450411993682663,17.274167324881567,0.012478237921146464,7.22500426307674,1.9180097345517928,50.11251038850315,1.021342301277435,0.4,0.48052171178958025,0.4,Convective zone
0.0016498426910885062,0.041399159220773425,17.265900616209308,0.030419216581595115,7.221697432629823,1.9130551168887509,46.59640186919441,1.031962376179889,0.4,0.47030998998147633,0.4,Convective zone
0.023421939470855163,0.46438705480079356,17.21576204842226,0.07473215673887795,7.201640273461689,1.8830043604378488,31.372794014523258,1.0987859565539408,0.4,0.42406436138606735,0.4,Convective zone
0.3325,2.3611724835926764,16.838255211227573,0.1998976777345785,7.069265395073854,1.6379985460942135,4.077797466185151,1.535006600151838,0.4,0.301092829016135,0.301092829016135,Radiative zone
0.531973798947598,2.614677542449755,16.592563547341037,0.251529654150312,7.000394729461354,1.4611975021295023,1.29200251871371,1.792130571597359,0.4,0.2605809375391783,0.2605809375391783,Radiative zone
0.731447597895196,2.6915449274376075,16.30201648519216,0.3051692120259518,6.929264875526368,1.2417763663083041,0.3583464082289552,2.157668123075372,0.4,0.23164371127073838,0.23164371127073838,Radiative zone
0.930921396842794,2.710333882284646,15.918827763518552,0.37114571538220786,6.845767401442304,0.9420509368318792,0.06773743646756941,2.750019626232136,0.4,0.20857593696540866,0.20857593696540866,Radiative zone
1.1303951957903917,2.7130890509245655,15.309573606031632,0.47491133515110884,6.7251079618892184,0.45334817138074274,0.004716285972145476,4.11428452604009,0.4,0.19218978315448806,0.19218978315448806,Radiative zone
1.329867000266001,2.7131933465038522,10.790084535645617,1.2226897086551884,5.774010800933916,-3.1168374885722985,4.733894972755376e-15,27.225257886035145,0.4,0.2083273734638417,0.2083273734638417,Radiative zone
1.329893600319201,2.7131933465038522,10.67912643262507,1.2346490315067742,5.750600938910526,-3.204476321972805,1.9337556286920214e-15,28.768076441464594,0.4,0.2115231077592641,0.2115231077592641,Radiative zone
1.3299202003724009,2.7131933465038522,10.537117151742027,1.249344611760028,5.720601391429236,-3.3166065609990385,6.02442267229409e-16,30.49352291655084,0.4,0.21312520713179153,0.21312520713179153,Radiative zone
1.3299468004256012,2.7131933465038522,10.338821111003497,1.2687663644184803,5.678078780384252,-3.4725436653022905,1.1180156234238155e-16,32.97504476086651,0.4,0.21597243656652926,0.21597243656652926,Radiative zone
1.329973400478801,2.7131933465038522,10.00434347506645,1.2986374447231803,5.606244582591751,-3.7354856998668966,5.853897588616315e-18,36.62035040097477,0.4,0.2151720704541076,0.2151720704541076,Radiative zone
1.3299973405266814,2.7131933465038522,8.925543672608827,1.3729393697413255,5.370278900852958,-4.5793792419016395,1.367351662287996e-22,54.75629880569257,0.4,0.23580477496012334,0.23580477496012334,Radiative zone
1.3299997345314694,2.7131933465038522,7.883963839735591,1.4165482311673394,5.068247252569343,-5.317664205702701,2.4438401488141693e-29,78.73636361089054,0.4,0.49755356485648455,0.4,Convective zone
1.329999997871996,2.7131933465038522,5.793535796292483,1.4438527215177661,4.231869918762627,-6.569173600363495,4.8438467123271823e-57,904.6168240686231,0.4,102.85143494632341,0.4,Convective zone
1.3299999986699973,2.7131933465038522,5.605561091472485,1.4446057283085367,4.15672814306311,-6.681972475408022,1.731770532529575e-60,729.0951190666244,0.4,107.42918555822467,0.4,Convective zone
1.329999999467999,2.7131933465038522,5.268050886565046,1.4456720290001501,4.021733995136349,-6.884445662207545,3.423946808590322e-67,108.29073590791505,0.4,25.432894163751417,0.4,Convective zone
